package,member,total
fmt,Errorf,8981
fmt,Println,8152
fmt,Sprintf,6075
errors,New,4348
unsafe,Pointer,3496
fmt,Printf,2958
time,Now,2257
fmt,Fprintf,2167
log,Printf,1850
reflect,DeepEqual,1790
path/filepath,Join,1525
os,Exit,1357
C,callGoStackCheck,1250
strings,Split,1165
strings,Contains,1158
log,Fatal,1110
time,Sleep,1106
log,Println,1029
encoding/json,Unmarshal,1010
regexp,MustCompile,989
os,Getenv,938
os/exec,Command,903
flag,String,900
net/http,NewRequest,838
strings,HasPrefix,835
os,RemoveAll,834
fmt,Fprintln,772
strings,TrimSpace,753
io/ioutil,ReadAll,739
log,Fatalf,738
io/ioutil,ReadFile,715
reflect,ValueOf,703
syscall,Errno,674
encoding/json,Marshal,672
bytes,Equal,670
os,Open,664
bytes,Buffer.WriteString,663
net/http/httptest,NewRecorder,650
os,Stat,639
os,Remove,609
strconv,Atoi,599
reflect,TypeOf,565
time,After,563
net/http,Error,561
strings,Join,546
path,Join,545
sync,Mutex.Unlock,540
strings,Replace,536
sync,Mutex.Lock,517
flag,Bool,494
flag,Parse,456
net/http/httptest,NewServer,455
bytes,Buffer.String,451
strconv,Itoa,439
io/ioutil,WriteFile,427
strings,ToLower,419
C,GLenum,414
strings,HasSuffix,404
sync,WaitGroup.Done,402
io/ioutil,TempDir,402
sync,WaitGroup.Wait,399
sync,WaitGroup.Add,391
os,Create,380
io,Copy,373
strconv,ParseInt,372
time,Date,367
os,Setenv,360
os,MkdirAll,357
net/url,Parse,355
time,Duration,350
bytes,NewBuffer,347
sort,Sort,346
strings,NewReader,333
sort,Strings,327
io,WriteString,308
time,Unix,293
fmt,Print,292
encoding/json,NewDecoder,291
strings,Index,285
fmt,Fprint,284
bytes,NewReader,279
testing,Short,276
bytes,Buffer.Bytes,274
testing,TB.Fatal,269
os,FileMode,266
C,int,255
strconv,ParseUint,250
encoding/json,NewEncoder,248
bufio,NewReader,239
os,IsNotExist,236
os,OpenFile,236
math/rand,Intn,234
flag,StringVar,229
net,ParseIP,228
C,GLuint,220
strings,Repeat,220
net/url,Values.Set,218
net/http,HandleFunc,215
testing,TB.Errorf,214
strings,SplitN,211
runtime,GOMAXPROCS,211
strconv,ParseFloat,211
io,ReadFull,209
C,CString,208
fmt,Sprint,206
flag,Int,199
log,Fatalln,197
flag,BoolVar,193
net/http,Get,192
math/big,NewInt,190
strconv,FormatInt,190
syscall,Signal,189
net/http,HandlerFunc,189
bytes,Buffer.WriteByte,189
bufio,NewScanner,180
bytes,Buffer.Write,180
io/ioutil,TempFile,180
strings,Trim,165
strings,Fields,161
time,Parse,158
os,Mkdir,152
bytes,Buffer.Reset,151
C,free,147
net,Listen,143
reflect,New,142
encoding/binary,Read,138
bytes,Compare,137
time,Since,137
bytes,NewBufferString,135
net/http,ListenAndServe,134
path/filepath,Abs,131
os/signal,Notify,130
os,Getwd,126
C,GLint,124
encoding/hex,DecodeString,124
flag,Args,123
math/rand,Seed,122
strings,TrimPrefix,121
os,NewSyscallError,121
net,Dial,120
strings,ToUpper,120
log,Print,119
runtime,Caller,118
flag,NewFlagSet,118
net/http,Redirect,116
log,New,114
path/filepath,Base,108
flag,Usage,104
math,Pow,104
encoding/json,MarshalIndent,103
io/ioutil,NopCloser,102
os,Lstat,102
crypto/rand,Read,101
net,SplitHostPort,99
math,Abs,99
sync,RWMutex.RUnlock,99
encoding/hex,EncodeToString,98
cmd/internal/obj,Appendp,97
runtime,GC,97
encoding/binary,Write,97
io/ioutil,ReadDir,97
sync,RWMutex.RLock,95
unsafe,Sizeof,94
reflect,Indirect,93
math/rand,New,92
path/filepath,Walk,91
regexp,Compile,89
strconv,ParseBool,89
path/filepath,Dir,89
log,SetFlags,86
sync,RWMutex.Unlock,84
time,ParseDuration,83
strings,LastIndex,83
os,Clearenv,82
bytes,Buffer.Len,82
math,Float32bits,82
net/http,Handle,82
flag,PrintDefaults,81
syscall,UTF16PtrFromString,79
flag,NArg,78
flag,IntVar,78
sync,RWMutex.Lock,78
os,Rename,77
strings,TrimSuffix,74
os/exec,LookPath,74
unicode/utf8,DecodeRuneInString,73
path/filepath,Clean,73
net/http,Post,72
time,NewTicker,72
syscall,Syscall,70
go/ast,NewIdent,70
bytes,Buffer.Error,69
net/url,Values.Add,69
bufio,NewWriter,69
path,Base,66
text/template,Must,66
os,Chdir,66
log,SetOutput,65
C,GoString,65
io,Pipe,65
net/http,NewServeMux,65
runtime,LockOSThread,64
testing,TB.Error,63
bytes,Buffer.WriteRune,63
go/parser,ParseFile,62
strings,EqualFold,61
flag,Arg,60
strconv,FormatFloat,60
strings,TrimRight,60
strings,Count,60
os,Environ,59
syscall,Mount,58
os,Readlink,57
math,IsNaN,57
bytes,Replace,57
strconv,AppendInt,56
testing,TB.Fatalf,56
runtime,FuncForPC,56
go/token,NewFileSet,56
regexp,MatchString,56
math/big,NewRat,56
os,Pipe,54
text/template,New,54
compress/gzip,NewReader,54
cmd/link/internal/ld,Adduint8,53
net,ParseCIDR,52
bytes,HasPrefix,52
os,Chmod,52
math,Sqrt,52
io,Writer.Write,52
math,Inf,51
path/filepath,Ext,50
net/http,Client.Do,50
net,IPv4,50
bytes,IndexByte,50
math,IsInf,50
sync/atomic,AddInt32,49
fmt,Sscanf,49
text/tabwriter,NewWriter,48
path,Clean,48
math/rand,Int,47
image,Rect,46
math,Floor,46
time,Tick,46
os,Hostname,46
fmt,Sprintln,45
unicode,IsSpace,45
sync,Once.Do,45
os,Symlink,45
sync/atomic,LoadInt32,45
strconv,FormatUint,45
os,TempDir,44
syscall,Syscall6,43
crypto/md5,New,43
time,NewTimer,43
compress/gzip,NewWriter,43
math/rand,Float64,43
bytes,Repeat,42
strconv,FormatBool,42
path/filepath,FromSlash,42
fmt,Scanln,42
path,Dir,42
path/filepath,Rel,42
net,Conn.Close,41
path/filepath,Split,41
C,GLfloat,41
net/http,NotFound,41
net/http,Client.Get,40
net,JoinHostPort,40
io,CopyN,40
database/sql,Open,40
C,GLsizei,39
crypto/hmac,New,39
runtime,ReadMemStats,38
strconv,AppendUint,38
encoding/gob,Register,38
flag,Duration,38
net,DialTimeout,37
testing,Verbose,37
sort,Ints,37
bytes,Split,37
runtime,NumCPU,37
unicode,IsLetter,36
net/http,CanonicalHeaderKey,36
html/template,Must,36
os/user,Current,36
crypto/sha256,Sum256,35
os,NewFile,35
cmd/link/internal/ld,Diag,35
crypto/sha256,New,35
os,Getpid,35
path/filepath,ToSlash,35
encoding/pem,Decode,34
path/filepath,EvalSymlinks,33
os,IsPermission,33
io,MultiWriter,33
math,NaN,33
unicode/utf8,RuneCountInString,33
encoding/gob,NewDecoder,33
runtime/pprof,StopCPUProfile,33
runtime/pprof,StartCPUProfile,33
log,Panicf,33
math/rand,NewSource,32
cmd/link/internal/ld,Linklookup,32
container/heap,Pop,32
strings,Title,32
image,NewRGBA,31
path/filepath,IsAbs,31
os,IsPathSeparator,31
cmd/compile/internal/gc,Cgen,31
bytes,Index,31
bytes,Contains,30
C,GLdouble,30
strings,IndexRune,30
runtime,Gosched,30
crypto/x509,NewCertPool,30
runtime,UnlockOSThread,29
math,Exp2,29
strconv,Unquote,29
strings,TrimLeft,29
syscall,Close,29
net,ResolveUDPAddr,29
syscall,Kill,29
unicode/utf8,DecodeRune,29
expvar,NewInt,29
bytes,Buffer.Fatal,28
flag,Var,28
crypto/x509,ParseCertificate,28
bytes,TrimSpace,28
C,GoBytes,28
math,Sin,27
crypto/sha1,New,27
runtime,NumGoroutine,27
reflect,MakeSlice,27
reflect,Zero,27
math,Min,26
html/template,New,26
strconv,Quote,26
sync/atomic,LoadUint32,26
math/rand,Perm,26
bytes,Trim,25
sort,Search,25
sort,StringSlice,25
go/format,Source,25
net,ResolveTCPAddr,25
testing/quick,Check,25
fmt,Fscanf,25
archive/tar,NewReader,25
encoding/xml,NewDecoder,25
cmd/link/internal/ld,Adduint32,24
os,IsExist,24
crypto/rand,Int,24
encoding/gob,NewEncoder,24
unicode/utf8,EncodeRune,24
time,AfterFunc,24
math,Max,23
net/url,QueryEscape,23
syscall,Unmount,23
net,IP,23
html/template,HTML,23
encoding/pem,Encode,23
cmd/compile/internal/gc,Regalloc,23
net/url,Values,23
net/http,Header.Set,23
unicode,IsUpper,22
crypto/rsa,GenerateKey,22
net,IP.String,22
sync/atomic,StoreInt32,22
os,NewError,22
crypto/aes,NewCipher,22
archive/tar,NewWriter,21
encoding/base64,NewDecoder,21
runtime,Stack,21
net,ListenPacket,21
math,Ceil,21
syscall,UTF16ToString,21
unicode,IsDigit,21
net/http,StatusText,21
bytes,Buffer.ReadFrom,21
container/heap,Push,21
path,Split,20
path/filepath,Glob,20
strings,ContainsAny,20
sort,Stable,20
net/http,Serve,20
unicode,IsLower,20
cmd/link/internal/ld,Cseek,20
time,FixedZone,20
math,Cos,20
time,Time.Int,20
math,Float64frombits,20
container/heap,Init,19
cmd/compile/internal/gc,Regfree,19
math/big,Int.Cmp,19
crypto/ecdsa,GenerateKey,19
syscall,BytePtrFromString,19
cmd/compile/internal/gc,Tempname,19
cmd/internal/obj,Linklookup,19
sync/atomic,StoreUint32,19
crypto/tls,LoadX509KeyPair,19
os,Chtimes,19
net/url,QueryUnescape,18
log,SetPrefix,18
html,EscapeString,18
C,GLshort,18
cmd/compile/internal/gc,Nodreg,18
os,Unsetenv,18
strings,NewReplacer,18
time,Duration.Seconds,18
syscall,NewLazyDLL,18
syscall,NewCallback,18
encoding/xml,Unmarshal,18
runtime,SetFinalizer,18
C,ExceptionOccurred,18
net,ListenUDP,17
net,CIDRMask,17
time,Time.IsZero,17
strings,ContainsRune,17
math,Float32frombits,17
image/png,Encode,17
crypto/tls,Dial,17
cmd/compile/internal/gc,Patch,17
io,LimitReader,17
sort,IsSorted,16
encoding/csv,NewReader,16
math/rand,Int31,16
internal/testenv,MustHaveExternalNetwork,16
testing,TB.Logf,16
log,Panic,16
strconv,AppendFloat,16
strings,IndexAny,16
net/http,SetCookie,16
fmt,Scanf,16
syscall,SetsockoptInt,16
net,InterfaceByName,16
syscall,Statfs,16
crypto/subtle,ConstantTimeCompare,15
net/http,PostForm,15
net/http,ServeFile,15
flag,Int64,15
syscall,StringToUTF16Ptr,15
testing,TB.Skip,15
path,IsAbs,15
net/url,ParseRequestURI,15
strings,IndexByte,15
C,CFNumberGetValue,15
image/draw,Draw,15
mime,ParseMediaType,15
bufio,NewWriterSize,15
reflect,Append,14
path/filepath,SplitList,14
io,ReadCloser.Close,14
C,uint,14
common,ErrExit,14
sync/atomic,AddInt64,14
unsafe,Offsetof,14
text/tabwriter,Writer.Init,14
math/big,Int.Add,14
flag,Lookup,14
sync/atomic,AddUint64,14
syscall,GetsockoptInt,14
math/rand,Int63,14
net/http,FileServer,14
mime/multipart,NewWriter,14
go/ast,Inspect,14
time,LoadLocation,14
io,TeeReader,14
math,Float64bits,14
unicode,ToLower,14
time,Time.Add,14
net,ParseMAC,14
fmt,Sscan,14
net/http,Handler.ServeHTTP,13
net/url,URL.String,13
cmd/compile/internal/gc,Gbranch,13
net,Interfaces,13
hash/fnv,New64a,13
flag,Uint,13
reflect,PtrTo,13
math/rand,Float32,13
net/http/httptest,NewUnstartedServer,13
time,ParseInLocation,13
sync/atomic,LoadInt64,13
net/textproto,MIMEHeader,12
archive/zip,OpenReader,12
image,NewRGBA64,12
encoding/xml,Marshal,12
mime,TypeByExtension,12
