fqn,member,type,total
java.lang.StringBuilder,append,method,68941
java.util.List,add,method,61215
java.util.Map,put,method,52426
java.lang.StringBuffer,append,method,51262
java.lang.String,equals,method,39271
java.util.List,size,method,34834
java.util.List,get,method,33460
java.util.Map,get,method,30943
java.lang.String,length,method,30831
org.junit.Assert,assertEquals,method,28072
java.lang.String,substring,method,20739
java.util.ArrayList,add,method,18700
java.lang.String,format,method,18359
java.util.Iterator,next,method,16069
java.lang.StringBuilder,toString,method,14542
java.util.Iterator,hasNext,method,13884
java.util.Arrays,asList,method,13436
java.lang.System,currentTimeMillis,method,12651
java.util.ArrayList,size,method,11964
java.util.Set,add,method,11481
java.lang.String,valueOf,method,11147
java.lang.Integer,intValue,method,11034
java.lang.Integer,parseInt,method,10901
java.lang.Boolean,FALSE,variable,10808
java.lang.Object,getClass,method,10250
junit.framework.Assert,assertEquals,method,10038
java.util.HashMap,put,method,9860
java.lang.String,charAt,method,9853
java.lang.String,startsWith,method,9648
java.lang.String,indexOf,method,9631
org.junit.Assert,assertTrue,method,9268
java.lang.Boolean,TRUE,variable,8826
java.util.ArrayList,get,method,8574
android.view.View,findViewById,method,8420
java.lang.StringBuffer,toString,method,8385
java.util.HashMap,get,method,8158
java.lang.System,arraycopy,method,8115
java.util.Map,E,variable,7352
java.io.File,exists,method,6826
java.lang.Math,max,method,6800
java.lang.Math,min,method,6783
java.lang.Exception,printStackTrace,method,6779
java.lang.String,contains,method,6664
java.util.List,isEmpty,method,6539
java.lang.String,equalsIgnoreCase,method,6187
java.lang.String,split,method,5945
java.lang.Integer,valueOf,method,5931
java.lang.System,getProperty,method,5885
java.lang.String,trim,method,5753
java.lang.Exception,getMessage,method,5752
java.lang.Math,abs,method,5743
java.lang.Thread,sleep,method,5731
android.util.Log,d,method,5506
java.lang.Integer,MAX_VALUE,variable,5502
java.lang.Integer,toString,method,5462
java.util.Map,containsKey,method,5461
java.io.File,getAbsolutePath,method,5201
org.testng.Assert,assertEquals,method,4552
java.lang.String,endsWith,method,4511
android.widget.TextView,setText,method,4429
java.lang.Object,getIsRIE,method,4428
javax.swing.JPanel,add,method,4351
java.util.Map,entrySet,method,4248
java.util.List,addAll,method,4236
android.content.Intent,putExtra,method,4187
java.lang.Thread,currentThread,method,4157
java.lang.String,isEmpty,method,4131
java.util.Set,contains,method,4057
java.util.Properties,setProperty,method,3845
com.google.common.collect.Lists,newArrayList,method,3845
java.lang.String,getBytes,method,3843
java.io.PrintWriter,println,method,3841
java.sql.ResultSet,getString,method,3838
java.sql.ResultSet,next,method,3811
java.lang.Object,toString,method,3778
java.lang.Class,getName,method,3748
java.util.regex.Matcher,group,method,3715
java.util.regex.Pattern,compile,method,3702
java.lang.String,replace,method,3671
com.hankcs.hanlp.algoritm.ahocorasick.trie.Trie,addKeyword,method,3661
org.junit.Assert,assertNotNull,method,3655
android.util.Log,e,method,3574
java.util.List,contains,method,3550
java.io.File,getName,method,3532
com.google.common.collect.ImmutableList,of,method,3516
java.util.Map,size,method,3482
java.util.Properties,getProperty,method,3480
java.util.Map,keySet,method,3455
java.util.Map.Entry,getValue,method,3441
java.util.Set,size,method,3373
java.lang.System,exit,method,3329
java.lang.String,toLowerCase,method,3320
java.lang.String,hashCode,method,3281
java.util.List,toArray,method,3221
java.util.Map.Entry,getKey,method,3189
android.view.View,VISIBLE,variable,3162
java.lang.String,lastIndexOf,method,3140
org.junit.Assert,assertFalse,method,3133
java.util.Random,nextInt,method,3114
java.util.Collections,sort,method,3096
java.lang.Class,forName,method,3090
org.json.JSONObject,put,method,3087
java.util.Collection,add,method,3080
android.view.View,O,variable,2992
android.view.View,GONE,variable,2987
java.io.IOException,printStackTrace,method,2938
java.util.List,remove,method,2934
java.util.List,iterator,method,2853
org.junit.Assert,fail,method,2851
java.io.Writer,write,method,2835
android.content.ContentValues,put,method,2834
java.util.logging.Logger,getLogger,method,2831
java.io.OutputStream,write,method,2784
com.google.common.base.Preconditions,checkNotNull,method,2760
java.util.List,clear,method,2723
android.util.Log,i,method,2687
java.io.BufferedReader,readLine,method,2639
java.util.Map,values,method,2635
java.lang.reflect.Method,invoke,method,2610
java.util.concurrent.TimeUnit,SECONDS,variable,2584
java.io.File,delete,method,2580
java.lang.StringBuilder,length,method,2552
java.lang.String,replaceAll,method,2544
org.apache.hadoop.hbase.util.Bytes,toBytes,method,2532
junit.framework.Assert,assertTrue,method,2504
javax.xml.bind.annotation.XmlAccessType,FIELD,variable,2488
java.util.Collection,size,method,2427
android.widget.Toast,makeText,method,2422
java.util.Map,remove,method,2411
java.io.PrintStream,println,method,2409
java.util.ArrayList,toArray,method,2361
org.apache.commons.logging.Log,debug,method,2348
java.util.ResourceBundle,getString,method,2326
java.util.Arrays,fill,method,2322
java.sql.ResultSet,getInt,method,2317
java.sql.PreparedStatement,setString,method,2312
java.lang.String,toUpperCase,method,2309
ims.framework.enumerations.SortOrder,ASCENDING,variable,2278
java.lang.Math,round,method,2258
java.io.IOException,getMessage,method,2251
java.util.StringTokenizer,nextToken,method,2240
java.io.InputStream,read,method,2231
javax.servlet.http.HttpServletRequest,getParameter,method,2226
java.io.ByteArrayOutputStream,toByteArray,method,2210
java.lang.Long,parseLong,method,2200
java.lang.Double,parseDouble,method,2187
java.lang.Thread,start,method,2156
java.util.Calendar,get,method,2136
java.util.regex.Pattern,matcher,method,2132
Catalano.Imaging.FastBitmap,getGray,method,2103
java.lang.Math,sqrt,method,2100
java.util.logging.Level,SEVERE,variable,2098
java.util.concurrent.TimeUnit,MILLISECONDS,variable,2098
java.lang.System,nanoTime,method,2097
org.mockito.Mockito,mock,method,2080
android.content.Context,getResources,method,2078
java.util.Collections,emptyList,method,2071
android.text.TextUtils,isEmpty,method,2059
java.util.Properties,put,method,2059
java.util.HashSet,add,method,2051
java.sql.Statement,execute,method,2039
java.util.Hashtable,put,method,2026
java.lang.Throwable,getMessage,method,2012
java.lang.Long,valueOf,method,1976
java.util.UUID,randomUUID,method,1972
java.lang.Boolean,valueOf,method,1970
org.testng.Assert,assertTrue,method,1955
java.util.logging.Logger,log,method,1946
android.view.LayoutInflater,inflate,method,1944
java.util.Arrays,equals,method,1941
java.io.File,isDirectory,method,1927
org.eclipse.swt.SWT,NONE,variable,1914
java.lang.Class,equals,method,1907
java.io.File,getPath,method,1907
java.util.Date,getTime,method,1880
android.os.Build,VERSION_CODES,variable,1870
org.mockito.Mockito,when,method,1838
java.lang.Long,MAX_VALUE,variable,1838
java.io.InputStream,close,method,1822
java.util.Collections,singletonList,method,1821
java.util.Calendar,getInstance,method,1819
android.content.Context,getString,method,1817
android.os.Build,VERSION,variable,1786
java.nio.ByteBuffer,put,method,1768
java.lang.System,setProperty,method,1768
android.database.Cursor,getString,method,1766
java.util.Calendar,set,method,1765
java.lang.Math,PI,variable,1738
java.util.Enumeration,nextElement,method,1729
java.util.Set,addAll,method,1725
org.apache.commons.logging.LogFactory,getLog,method,1721
java.math.BigInteger,valueOf,method,1717
java.sql.Connection,createStatement,method,1705
java.lang.Math,pow,method,1696
java.util.Enumeration,hasMoreElements,method,1688
org.json.JSONObject,getString,method,1686
java.lang.Class,getMethod,method,1685
com.liferay.portal.kernel.util.StringBundler,append,method,1684
java.sql.Connection,prepareStatement,method,1669
java.util.Vector,size,method,1655
java.lang.Object,equals,method,1628
com.google.common.base.Preconditions,checkArgument,method,1611
java.util.Arrays,toString,method,1603
java.lang.Object,col,method,1601
android.widget.Toast,LENGTH_SHORT,variable,1601
java.lang.Short,MAX_VALUE,variable,1595
java.lang.Exception,toString,method,1593
java.nio.ByteBuffer,wrap,method,1588
org.apache.commons.logging.Log,error,method,1580
java.nio.ByteBuffer,position,method,1579
java.util.Iterator,remove,method,1573
java.io.BufferedWriter,write,method,1564
org.mockito.Mockito,verify,method,1561
java.util.Vector,add,method,1547
android.view.View,setVisibility,method,1542
java.lang.Long,toString,method,1511
java.util.regex.Matcher,find,method,1509
java.util.Objects,equals,method,1506
android.content.DialogInterface,O,variable,1497
java.lang.reflect.Field,get,method,1497
ims.framework.enumerations.SortOrder,DESCENDING,variable,1493
android.util.Log,w,method,1488
android.util.SparseIntArray,put,method,1483
java.text.MessageFormat,format,method,1482
java.util.Set,iterator,method,1468
java.lang.StringBuffer,length,method,1464
java.lang.Integer,MIN_VALUE,variable,1462
java.lang.Class,newInstance,method,1462
javax.servlet.http.HttpServletResponse,getWriter,method,1458
com.gamingmesh.jobs.container.LocaleReader,get,method,1450
org.junit.Assert,assertNull,method,1443
java.util.Set,isEmpty,method,1442
android.graphics.Paint,setColor,method,1438
java.lang.Boolean,parseBoolean,method,1435
java.sql.PreparedStatement,setInt,method,1429
java.io.File,getParentFile,method,1422
java.util.LinkedList,add,method,1420
java.io.PrintWriter,print,method,1416
java.lang.Double,N,variable,1395
java.lang.Math,sin,method,1380
android.app.AlertDialog,B,variable,1379
java.lang.Integer,toHexString,method,1377
com.google.common.collect.Sets,newHashSet,method,1370
java.util.Map,clear,method,1356
java.io.ByteArrayOutputStream,write,method,1348
java.lang.reflect.Method,getName,method,1333
junit.framework.Assert,assertNotNull,method,1325
java.util.concurrent.CountDownLatch,countDown,method,1322
java.util.logging.Level,FINE,variable,1321
android.database.Cursor,getColumnIndex,method,1308
java.lang.Runtime,getRuntime,method,1299
java.util.Map,isEmpty,method,1292
java.nio.ByteBuffer,get,method,1290
java.lang.System,getenv,method,1283
java.lang.Double,POSITIVE_INFINITY,variable,1272
java.util.Set,remove,method,1270
java.lang.Throwable,printStackTrace,method,1270
java.io.File,mkdirs,method,1260
java.util.logging.Level,WARNING,variable,1246
java.util.logging.Level,INFO,variable,1244
java.lang.reflect.Field,setAccessible,method,1243
com.google.common.collect.Maps,newHashMap,method,1242
org.mockito.InOrder,verify,method,1242
java.lang.Double,valueOf,method,1241
android.content.SharedPreferences,getString,method,1237
java.io.File,listFiles,method,1232
javax.ws.rs.core.MediaType,APPLICATION_JSON,variable,1231
junit.framework.TestCase,assertEquals,method,1230
android.widget.EditText,getText,method,1226
java.lang.String,append,method,1219
java.lang.Double,isNaN,method,1213
java.lang.String,toCharArray,method,1208
android.net.Uri,parse,method,1193
java.text.SimpleDateFormat,format,method,1186
java.util.ArrayList,iterator,method,1181
java.util.Calendar,getTime,method,1181
java.lang.Math,cos,method,1180
org.junit.Assert,assertThat,method,1178
java.nio.ByteBuffer,allocate,method,1171
java.lang.Math,log,method,1171
com.google.common.collect.ImmutableMap,of,method,1169
org.eclipse.persistence.oxm.XMLDescriptor,addMapping,method,1154
java.sql.Statement,executeQuery,method,1152
java.util.Optional,of,method,1151
java.sql.PreparedStatement,executeQuery,method,1150
java.io.StringWriter,toString,method,1150
com.intellij.openapi.application.ApplicationManager,getApplication,method,1149
org.junit.Assert,assertArrayEquals,method,1149
javax.swing.JOptionPane,showMessageDialog,method,1148
java.util.Objects,requireNonNull,method,1137
java.util.Optional,empty,method,1132
junit.framework.TestSuite,addTest,method,1131
java.util.Collection,iterator,method,1128
java.util.concurrent.atomic.AtomicReference,get,method,1127
java.util.Hashtable,get,method,1127
java.util.Collections,unmodifiableList,method,1118
java.util.Collections,singleton,method,1117
android.os.Bundle,putString,method,1114
org.assertj.core.api.Assertions,assertThat,method,1112
java.util.concurrent.atomic.AtomicInteger,get,method,1106
java.lang.Object,getId,method,1105
java.util.LinkedHashMap,put,method,1103
java.nio.file.Paths,get,method,1098
java.util.Locale,ENGLISH,variable,1090
junit.framework.Assert,assertFalse,method,1089
com.google.common.base.Optional,get,method,1088
android.database.Cursor,close,method,1087
android.content.SharedPreferences,edit,method,1085
android.view.MenuItem,getItemId,method,1081
javax.swing.KeyStroke,getKeyStroke,method,1080
android.content.SharedPreferences,getBoolean,method,1080
org.eclipse.swt.widgets.Label,setText,method,1076
org.eclipse.emf.ecore.EClass,getEStructuralFeatures,method,1074
android.view.LayoutInflater,from,method,1065
android.widget.Button,setOnClickListener,method,1065
java.util.concurrent.CountDownLatch,await,method,1062
java.lang.Runnable,run,method,1056
com.espertech.esper.client.scopetest.EPAssertionUtil,assertProps,method,1055
java.lang.Double,MAX_VALUE,variable,1055
java.io.File,length,method,1054
java.io.BufferedReader,close,method,1050
org.eclipse.swt.SWT,FILL,variable,1046
com.google.common.collect.ImmutableSet,of,method,1043
java.util.Locale,US,variable,1028
junit.framework.TestSuite,addTestSuite,method,1026
org.junit.rules.ExpectedException,expect,method,1023
java.util.HashMap,containsKey,method,1023
java.lang.Math,random,method,1023
android.view.ViewGroup,L,variable,1013
android.util.Log,v,method,1011
com.google.common.base.Preconditions,checkState,method,1011
java.lang.Math,floor,method,1005
org.apache.camel.Exchange,getIn,method,1003
javax.servlet.http.HttpServletRequest,getSession,method,1003
org.apache.commons.logging.Log,isDebugEnabled,method,1000
java.util.concurrent.locks.Lock,unlock,method,999
java.lang.String,toString,method,997
java.util.concurrent.atomic.AtomicBoolean,get,method,997
java.util.ArrayList,remove,method,996
java.lang.Double,NEGATIVE_INFINITY,variable,991
java.lang.Object,isIncludeRecord,method,984
java.nio.ByteBuffer,remaining,method,982
java.awt.GridBagConstraints,gridy,method,977
java.lang.Math,ceil,method,976
java.util.ArrayList,indexOf,method,972
android.widget.TextView,setVisibility,method,967
java.util.regex.Matcher,matches,method,965
java.lang.IllegalArgumentException,getMessage,method,965
java.awt.GridBagConstraints,gridx,method,962
java.io.File,isFile,method,959
java.lang.InterruptedException,printStackTrace,method,957
java.util.stream.Collectors,toList,method,952
java.util.Arrays,copyOf,method,946
org.springframework.ui.Model,addAttribute,method,940
java.util.Arrays,sort,method,935
java.sql.Connection,close,method,933
org.apache.hadoop.conf.Configuration,set,method,931
java.sql.ResultSet,close,method,929
java.lang.Thread,join,method,929
java.util.Collection,contains,method,921
android.database.Cursor,getInt,method,920
java.util.Collections,unmodifiableMap,method,919
java.lang.Double,doubleToLongBits,method,918
java.lang.Class,isAssignableFrom,method,915
java.util.Locale,getDefault,method,912
org.apache.pig.data.Tuple,get,method,910
java.util.Vector,elementAt,method,909
java.lang.ThreadLocal,get,method,909
java.util.concurrent.locks.Lock,lock,method,907
java.util.concurrent.atomic.AtomicInteger,incrementAndGet,method,906
com.google.common.base.Optional,isPresent,method,904
java.util.concurrent.atomic.AtomicBoolean,set,method,904
javax.swing.JButton,addActionListener,method,903
java.util.ArrayList,clear,method,903
java.lang.Float,parseFloat,method,903
java.io.OutputStream,close,method,902
android.content.Context,getSystemService,method,897
java.lang.Class,getSimpleName,method,887
com.espertech.esper.client.scopetest.SupportUpdateListener,assertOneGetNewAndReset,method,886
java.util.StringTokenizer,hasMoreTokens,method,881
java.util.Vector,get,method,880
com.rethinkdb.model.Arguments,coerceAndAdd,method,879
android.preference.PreferenceManager,getDefaultSharedPreferences,method,878
java.lang.CharSequence,length,method,878
android.os.Bundle,getString,method,872
java.util.Collection,isEmpty,method,869
javax.servlet.http.HttpServletResponse,setContentType,method,861
android.graphics.Bitmap,getHeight,method,859
org.json.JSONObject,optString,method,855
android.graphics.Bitmap,getWidth,method,851
java.awt.Rectangle,y,method,851
java.awt.Rectangle,x,method,851
java.util.Calendar,YEAR,variable,849
android.widget.Toast,LENGTH_LONG,variable,846
java.net.URI,create,method,845
com.amazonaws.Request,addParameter,method,842
java.util.ArrayList,isEmpty,method,841
java.util.EnumSet,of,method,840
javax.servlet.http.HttpServletRequest,setAttribute,method,838
java.lang.Throwable,getClass,method,835
org.eclipse.swt.SWT,BORDER,variable,834
java.lang.String,matches,method,830
java.lang.Long,MIN_VALUE,variable,824
java.util.Map,putAll,method,818
com.google.common.collect.ImmutableList,copyOf,method,817
java.lang.String,compareTo,method,814
com.orientechnologies.orient.core.record.impl.ODocument,field,method,812
com.google.gson.JsonObject,get,method,807
java.lang.ref.WeakReference,get,method,804
java.awt.Rectangle,width,method,801
javay.util.graph.Graph,setEdge,method,800
java.math.BigDecimal,ZERO,variable,799
java.util.List,stream,method,797
java.awt.Rectangle,height,method,797
android.view.View,getTag,method,796
java.io.File,createTempFile,method,796
org.apache.commons.logging.Log,info,method,794
java.sql.DriverManager,getConnection,method,794
java.nio.file.Path,resolve,method,793
java.lang.Boolean,booleanValue,method,790
net.minecraft.client.Minecraft,getMinecraft,method,789
javax.persistence.EntityManager,createQuery,method,787
javax.swing.JPanel,setLayout,method,786
java.util.List,set,method,782
org.xml.sax.Attributes,getValue,method,782
java.nio.ByteBuffer,array,method,781
java.util.Vector,addElement,method,780
java.util.List,indexOf,method,778
net.minecraft.item.ItemStack,getItem,method,764
java.util.Stack,push,method,763
android.os.Parcel,writeString,method,761
javax.swing.JTextField,getText,method,759
