name,total
len,122838
str,57353
isinstance,47203
print,44558
format,43263
os.path.join,37388
int,37173
range,34258
super,29468
open,25442
set,23034
list,22348
dict,20051
pybindgen.param,18674
getattr,15466
hasattr,14851
float,14614
type,14609
FWCore.ParameterSet.Config.double,14359
numpy.array,12609
os.path.exists,10516
enumerate,9985
re.compile,9791
sorted,9292
sys.exit,9173
time.time,8665
os.path.dirname,8382
xrange,7546
FWCore.ParameterSet.Config.bool,7529
repr,7381
xml.etree.ElementTree.SubElement,7315
map,7071
max,6927
mock.patch,6266
FWCore.ParameterSet.Config.string,6064
tuple,5770
numpy.zeros,5740
argparse.ArgumentParser.add_argument,5729
FWCore.ParameterSet.Config.InputTag,5678
zip,5677
time.sleep,5633
sum,5583
new.instancemethod,5539
os.path.abspath,5376
json.dumps,5177
logging.getLogger,5172
min,5076
unicode,4881
nose.tools.eq_,4641
datetime.datetime,4589
abs,4579
django.core.urlresolvers.reverse,4573
json.loads,4488
filter,4425
mock.patch.object,4335
pytz.tzinfo.memorized_ttinfo,4326
pytz.tzinfo.memorized_datetime,4326
django.conf.urls.url,4236
setattr,4116
re.sub,3956
property,3934
re.search,3879
ord,3694
optparse.OptionParser.add_option,3584
FWCore.ParameterSet.Config.int32,3575
os.path.basename,3558
sqlalchemy.Column,3544
next,3516
all,3504
datetime.timedelta,3490
os.path.isfile,3421
chr,3385
bool,3344
django.db.models.CharField,3272
numpy.arange,3226
struct.pack,3224
logging.info,3224
re.match,3204
os.path.isdir,3099
struct.unpack,2963
os.remove,2962
sys.stderr.write,2914
FWCore.ParameterSet.Config.HLTFilter,2911
datetime.datetime.now,2857
mock.Mock,2854
datetime.date,2804
round,2755
FWCore.ParameterSet.Config.untracked.bool,2655
os.environ.get,2516
FWCore.ParameterSet.Config.PSet,2501
logging.debug,2427
iter,2411
os.listdir,2409
numpy.dot,2398
sys.stdout.write,2392
os.makedirs,2338
unittest.main,2300
any,2292
copy.deepcopy,2216
nose.tools.assert_equal,2205
opcua.ua.NodeId.from_string,2178
sys.exc_info,2174
numpy.sum,2103
eval,2101
id,2085
os.system,2039
pytest.raises,2025
shutil.rmtree,1972
os.getcwd,1969
os.chdir,1949
functools.partial,1924
warnings.warn,1892
random.randint,1886
os.path.splitext,1880
locals,1853
numpy.sqrt,1837
numpy.ones,1824
xml.etree.ElementTree.Element,1822
.constant.Constant,1818
file.write,1757
numpy.asarray,1741
mock.MagicMock,1727
collections.defaultdict,1710
os.mkdir,1710
uuid.uuid4,1673
hash,1658
subprocess.call,1650
bytearray,1644
issubclass,1644
subprocess.Popen,1621
glob.glob,1621
staticmethod,1607
FWCore.ParameterSet.Config.vdouble,1540
sys.path.append,1528
os.path.split,1527
sympy.assumptions.ask,1511
slice,1494
mock.call,1485
sys.path.insert,1451
os.unlink,1425
logging.error,1375
argparse.ArgumentParser.parse_args,1325
globals,1325
django.db.models.ForeignKey,1320
re.findall,1319
os.path.realpath,1316
file,1314
object,1280
reversed,1276
frozenset,1275
copy.copy,1275
raw_input,1269
sqlalchemy.testing.eq_,1259
random.choice,1215
sqlalchemy.String,1208
FWCore.ParameterSet.Config.uint32,1190
decimal.Decimal,1187
numpy.linspace,1186
os.path.expanduser,1184
long,1184
django.db.migrations.CreateModel,1180
numpy.abs,1180
tempfile.mkdtemp,1168
os.stat,1162
callable,1159
numpy.sin,1140
django.db.models.AutoField,1112
numpy.testing.assert_array_equal,1107
numpy.where,1095
FWCore.ParameterSet.Config.EDProducer,1094
sys.stdout.flush,1091
StringIO.StringIO,1083
requests.get,1081
numpy.empty,1068
collections.namedtuple,1064
setuptools.setup,1061
datetime.datetime.utcnow,1059
numpy.log,1055
datetime.datetime.strptime,1053
os.getenv,1052
traceback.format_exc,1050
os.path.normpath,1038
os.walk,1037
socket.socket,1027
numpy.mean,1022
numpy.testing.assert_allclose,1014
time.strftime,1014
matplotlib.pyplot.plot,1013
django.http.HttpResponse,1012
django.db.migrations.AddField,1008
sqlalchemy.testing.schema.Column,1006
numpy.testing.assert_almost_equal,998
numpy.exp,991
math.sqrt,990
math.sin,989
django.shortcuts.render,974
django.shortcuts.get_object_or_404,973
nose.tools.assert_true,968
hex,966
dir,962
json.load,956
numpy.cos,947
django.db.migrations.AlterField,943
twisted.internet.defer.Deferred.addCallback,933
logging.basicConfig,933
urllib2.urlopen,923
math.cos,909
flask.url_for,908
cmp,898
numpy.dtype,893
django.contrib.admin.site.register,888
traceback.print_exc,884
textwrap.dedent,883
wx.BoxSizer.Add,876
numpy.testing.assert_equal,869
random.random,858
functools.wraps,851
subprocess.check_output,850
ctypes.POINTER,845
ctypes.byref,845
django.db.models.DateTimeField,830
pygments.lexer.bygroups,825
flask.render_template,820
django.db.models.Q,818
numpy.allclose,818
sympy.And,817
flask.Flask.route,816
array.array,810
whoosh.compat.u,806
abjad.tools.pitchtools.NamedPitchClass,798
numpy.concatenate,794
matplotlib.pyplot.figure,793
subprocess.check_call,793
FWCore.ParameterSet.Config.Path,791
urllib.urlencode,783
sympy.assumptions.Q.bounded,779
os.close,775
collections.OrderedDict,771
logging.warning,768
unittest.skipUnless,765
django.http.HttpResponseRedirect,755
numpy.all,749
optparse.make_option,747
shutil.copy,744
pytest.mark.parametrize,743
hashlib.md5,740
vars,739
layout_expert.layout.layout.Layout,738
sqlalchemy.orm.relationship,738
sqlalchemy.orm.mapper,737
six.iteritems,736
numpy.random.rand,731
django.test.utils.override_settings,728
base64.b64encode,723
optparse.OptionParser.parse_args,719
complex,719
struct.unpack_from,718
input,717
numpy.max,717
ctypes.c_int,715
datetime.date.today,713
pyrax.utils.random_unicode,711
codecs.open,710
google.protobuf.descriptor.EnumValueDescriptor,704
flask.redirect,699
matplotlib.pyplot.show,698
twisted.python.log.msg,697
compile,695
nose.tools.ok_,695
.error_logging.fail_guess_because,692
.result.ReleaseResult.create_artist,689
numpy.linalg.norm,688
click.option,688
django.conf.urls.include,677
six.text_type,675
django.shortcuts.render_to_response,671
FWCore.ParameterSet.Config.ESProducer,670
django.shortcuts.redirect,663
re.escape,661
urlparse.urlparse,660
sickbeard.logger.log,658
django.db.models.BooleanField,658
oslo_config.cfg.StrOpt,652
pygments.lexer.include,652
collections.deque,647
django.utils.timezone.now,641
core.logger.info,641
signal.signal,641
numpy.random.randn,640
inspect.stack,640
math.ceil,639
optparse.OptionGroup.add_option,639
threading.Thread.start,633
itertools.chain,632
flask.flash,630
six.moves.range,628
math.log,626
subprocess.Popen.communicate,618
numpy.vstack,614
numpy.testing.assert_array_almost_equal,610
rest_framework.response.Response,608
numpy.random.seed,608
nose.tools.assert_raises,607
os.chmod,606
divmod,599
layout_expert.layout.layout.Field,593
pickle.dumps,586
tempfile.mkstemp,586
pow,580
argparse.ArgumentParser,578
pyxb.utils.utility.Location,560
setuptools.find_packages,559
math.sinh,556
os.rename,556
reduce,553
flask.request.args.get,550
urllib.quote,547
django.db.models.TextField,547
numpy.lib.add_newdoc,546
unittest.skipIf,542
nose.tools.assert_equals,542
tarfile.open,535
helpers.get_xml_attr,532
threading.Thread,528
os.access,526
pickle.loads,524
os.getpid,523
math.floor,520
re.split,514
django.db.models.IntegerField,511
swift.common.swob.Request.blank,511
mtree.tests.fixtures.generator.QUERY,509
sympycore.Verbatim,505
math.cosh,504
random.randrange,499
math.pow,499
time.localtime,499
numpy.isnan,499
FWCore.ParameterSet.Config.vstring,495
file.close,494
pytest.fixture,492
matplotlib.pyplot.subplot,492
sys.platform.startswith,492
sympy.log,490
django.template.RequestContext,490
sqlalchemy.ForeignKey,488
json.dump,485
numpy.eye,485
math.isnan,484
io.BytesIO,483
platform.system,478
sqlalchemy.Integer,477
struct.calcsize,476
tigershark.X12.parse.Properties,475
numpy.min,474
novaclient.utils.arg,474
numpy.hstack,473
theano.function,472
unittest.mock.patch,470
.utils.support_types.stringToCharP,469
openerp.osv.fields.many2one,468
south.db.db.delete_table,468
pyasm.web.DivWdg.add,467
oslo_log.log.getLogger,466
numpy.random.random,462
numpy.ma.testutils.assert_equal,461
urlparse.urljoin,461
requests.post,460
os.path.relpath,460
pandas.DataFrame,459
south.db.db.create_table,456
urllib2.Request,455
tempfile.NamedTemporaryFile,455
warnings.catch_warnings,453
unittest.TestSuite.addTest,452
math.radians,449
zipfile.ZipFile,448
numpy.shape,448
theano.shared,447
datetime.datetime.fromtimestamp,446
south.db.db.delete_column,445
urllib.quote_plus,445
django.utils.safestring.mark_safe,443
distutils.core.setup,442
django.conf.urls.patterns,440
time.gmtime,440
sympy.Piecewise,440
sqlite3.connect,440
vstruct.VArray,438
ctypes.c_double,436
pyxb.namespace.ExpandedName,436
south.db.db.add_column,434
omero.conversions.Sym,432
operator.itemgetter,431
django.forms.ValidationError,430
flask.jsonify,430
PyQt4.QtCore.SIGNAL,429
omero.conversions.Mul,428
FWCore.ParameterSet.Config.Sequence,427
matplotlib.pyplot.title,427
nose.plugins.attrib.attr,425
numpy.unique,419
pyquery.PyQuery,419
sympy.assumptions.Q.positive,417
cStringIO.StringIO,415
time.mktime,414
numpy.zeros_like,412
moves.DamagingMove,411
reload,411
pandas.util.testing.assert_series_equal,410
shutil.copyfile,410
mtree.tests.fixtures.generator.ADD,409
PyQt4.QtGui.QLabel,408
django.core.management.call_command,408
io.open,408
hashlib.sha1,408
pcs.test.tools.pcs_runner.pcs,406
logging.warn,406
django.utils.encoding.force_text,405
django.core.exceptions.ValidationError,405
csv.reader,405
os.path.getsize,403
opcua.ua.LocalizedText,403
pprint.pprint,402
tigershark.X12.parse.Element,402
numpy.log10,401
south.db.db.send_create_signal,400
matplotlib.pyplot.xlabel,399
matplotlib.pyplot.ylabel,399
pyasm.web.DivWdg.add_style,399
unittest.makeSuite,399
file.read,397
FWCore.ParameterSet.Config.untracked.string,395
pandas.Series,394
sqlalchemy.testing.schema.Table,394
threading.Lock,393
warnings.simplefilter,393
itertools.product,391
unichr,391
base64.b64decode,388
FWCore.ParameterSet.Config.vuint32,386
pylab.plot,386
flask.Blueprint.route,385
classmethod,384
sympy.Symbol,382
click.echo,381
django.core.exceptions.ImproperlyConfigured,380
pickle.load,379
subprocess.Popen.wait,376
yaml.load,372
gc.collect,370
os.popen,367
simplejson.dumps,365
numpy.random.randint,363
sympy.sqrt,363
omero.conversions.Pow,362
os.symlink,361
numpy.nonzero,359
netforce.model.get_model,359
numpy.matrix,358
binascii.hexlify,358
numpy.random.normal,356
tensorflow.constant,352
google.protobuf.descriptor.FieldDescriptor,350
string.join,349
os.path.isabs,348
tempest.test.idempotent_id,346
pprint.pformat,346
sympy.functions.elementary.miscellaneous.sqrt,345
numpy.diag,344
numpy.any,343
django.contrib.auth.models.User.objects.get,342
unpack.Unpackable.unpack_one,341
time.clock,340
matplotlib.pyplot.savefig,337
PyQt4.QtCore.QSize,336
random.shuffle,334
unittest.skip,333
distutils.log.warn,332
os.environ.setdefault,332
shutil.move,331
random.uniform,330
urllib.unquote,327
getopt.getopt,327
theano.tensor.dot,326
numpy.reshape,325
numpy.loadtxt,324
ddt.data,324
dask.dataframe.utils.eq,323
twisted.internet.defer.succeed,322
PyQt5.QtWidgets.QApplication.translate,321
dateutil.relativedelta.relativedelta,321
shlex.split,320
os.kill,319
operator.attrgetter,318
nose_parameterized.param,318
alembic.op.create_table,318
django.core.management.base.CommandError,315
shutil.copytree,315
keras.models.Sequential.add,315
simplejson.loads,314
alembic.op.drop_column,312
os.path.getmtime,312
random.seed,312
twisted.internet.defer.returnValue,311
sqlalchemy.ForeignKeyConstraint,311
sympy.assumptions.Q.negative,311
math.atan2,310
optparse.OptionParser.error,310
south.db.db.alter_column,309
os.rmdir,309
PyQt4.QtGui.QAction,309
alembic.op.add_column,308
PIL.Image.open,306
os.path.islink,306
core.item.Item,304
omero.conversions.Int,303
numpy.argmax,302
numpy.argsort,301
tempest.test.attr,299
importlib.import_module,298
pandas.util.testing.assert_frame_equal,298
select.select,297
numpy.random.uniform,296
manilaclient.openstack.common.cliutils.arg,296
logging.exception,295
hmac.new,293
opcua.ua.QualifiedName.from_string,293
weakref.ref,293
nose.tools.raises,293
cPickle.load,292
numpy.append,291
hashlib.sha256,290
oslo_config.cfg.IntOpt,290
numpy.load,290
io.StringIO,286
dtest.debug,285
FreeCAD.Vector,284
tempfile.gettempdir,284
django.contrib.auth.get_user_model,283
uuid.uuid1,283
PyQt4.QtGui.QPushButton,281
pybindgen.typehandlers.add_type_alias,279
sqlalchemy.sql.column,277
itertools.izip,276
openerp.osv.fields.char,276
functools.reduce,276
flask.request.form.get,276
threading.Thread.join,275
io.StringIO.getvalue,274
string.split,273
flask.abort,273
datetime.time,272
os.write,272
vtk.vtkActor,270
sqlalchemy.PrimaryKeyConstraint,269
socket.gethostname,269
hscommon.testutil.eq_,268
django.forms.CharField,267
numpy.diff,267
dateutil.parser.parse,266
django.template.loader.render_to_string,266
os.fdopen,265
zipfile.ZipFile.close,264
pickle.dump,263
inspect.isclass,263
gslib.tests.util.ObjectToURI,263
oslo_serialization.jsonutils.dumps,263
sqlalchemy.orm.create_session,261
pytz.timezone,260
.utils.u_,260
six.moves.xrange,260
doctest.testmod,260
FWCore.ParameterSet.Config.vint32,259
os.urandom,259
openerp.fields.Many2one,259
robot.utils.asserts.assert_equal,258
urllib.urlopen,258
sympy.assumptions.Q.real,257
numpy.floor,257
libmich.core.element.Bit,256
fabric.api.run,256
numpy.testing.assert_,256
pandas.read_csv,256
fnmatch.fnmatch,256
threading.Event,255
calibre.ebooks.BeautifulSoup.Tag.insert,255
.numeric.array,254
numpy.transpose,253
help,253
numpy.prod,252
matplotlib.pyplot.legend,251
httpretty.register_uri,251
numpy.ceil,250
twisted.python.failure.Failure,250
tensorflow.python.framework.tensor_shape.Dimension,249
tempfile.mktemp,249
cubit.cmd,248
sqlalchemy.DateTime,248
oslo_serialization.jsonutils.loads,247
csv.writer,246
hask.Just,246
Queue.Queue,245
cPickle.dump,245
PyQt4.QtGui.QApplication.translate,244
matplotlib.pyplot.subplots,243
numpy.round,241
os.open,240
numpy.sort,239
alembic.op.drop_table,239
PyQt5.QtWidgets.QLabel,239
math.exp,239
warnings.filterwarnings,238
zope.interface.implements,238
bs4.BeautifulSoup.find,237
numpy.core.numeric.array,236
lxml.etree.fromstring,236
string.replace,236
PyQt4.QtGui.QLineEdit,235
django.utils.six.text_type,234
binascii.unhexlify,232
pyangbind.lib.yangtypes.YANGDynClass,231
inspect.getargspec,230
dict.fromkeys,229
lettuce.step,229
distutils.core.Extension,228
omero.conversions.Rat,227
numpy.median,227
numpy.isfinite,227
PyQt4.QtGui.QIcon,226
logging.StreamHandler.setFormatter,225
django.http.Http404,225
six.moves.zip,224
itertools.count,223
FWCore.ParameterSet.Config.untracked.vstring,222
string.Template,222
operator.eq,222
numpy.std,221
delattr,221
execfile,221
unittest.mock.Mock,221
flexmock.flexmock,220
unittest.TextTestRunner,219
gluon.storage.Storage,219
sure.deprecated.that,218
modules.common.helpers.randomString,217
antlr3.compat.frozenset,216
xbmcgui.ListItem.setProperty,216
sqlalchemy.Table,215
sys.getrefcount,215
datetime.datetime.today,215
pyxb.binding.facets.CF_enumeration,213
pybindgen.cppclass.ReferenceCountingMethodsPolicy,213
twisted.internet.reactor.callLater,212
FWCore.ParameterSet.Config.untracked.int32,212
contextlib.closing,212
numpy.maximum,211
cffi.FFI.cdef,210
atexit.register,210
tools.rows_to_list,209
pytest.mark.skipif,209
socket.gethostbyname,208
numpy.repeat,208
