name,total
len,122838
str,57353
isinstance,47203
print,44558
format,43263
os.path.join,37388
int,37173
range,34258
super,29468
open,25442
set,23034
list,22348
dict,20051
getattr,15466
hasattr,14851
float,14614
type,14609
os.path.exists,10516
enumerate,9985
re.compile,9791
sorted,9292
sys.exit,9173
time.time,8665
os.path.dirname,8382
repr,7381
xml.etree.ElementTree.SubElement,7315
map,7071
max,6927
tuple,5770
argparse.ArgumentParser.add_argument,5729
zip,5677
time.sleep,5633
sum,5583
new.instancemethod,5539
os.path.abspath,5376
json.dumps,5177
logging.getLogger,5172
min,5076
datetime.datetime,4589
abs,4579
json.loads,4488
filter,4425
setattr,4116
re.sub,3956
property,3934
re.search,3879
ord,3694
optparse.OptionParser.add_option,3584
os.path.basename,3558
next,3516
all,3504
datetime.timedelta,3490
os.path.isfile,3421
chr,3385
bool,3344
struct.pack,3224
logging.info,3224
re.match,3204
os.path.isdir,3099
struct.unpack,2963
os.remove,2962
sys.stderr.write,2914
datetime.datetime.now,2857
datetime.date,2804
round,2755
os.environ.get,2516
logging.debug,2427
iter,2411
os.listdir,2409
sys.stdout.write,2392
os.makedirs,2338
unittest.main,2300
any,2292
copy.deepcopy,2216
sys.exc_info,2174
eval,2101
id,2085
os.system,2039
shutil.rmtree,1972
os.getcwd,1969
os.chdir,1949
functools.partial,1924
warnings.warn,1892
random.randint,1886
os.path.splitext,1880
locals,1853
xml.etree.ElementTree.Element,1822
collections.defaultdict,1710
os.mkdir,1710
uuid.uuid4,1673
hash,1658
subprocess.call,1650
bytearray,1644
issubclass,1644
subprocess.Popen,1621
glob.glob,1621
staticmethod,1607
sys.path.append,1528
os.path.split,1527
slice,1494
sys.path.insert,1451
os.unlink,1425
logging.error,1375
argparse.ArgumentParser.parse_args,1325
globals,1325
re.findall,1319
os.path.realpath,1316
object,1280
reversed,1276
frozenset,1275
copy.copy,1275
random.choice,1215
decimal.Decimal,1187
os.path.expanduser,1184
tempfile.mkdtemp,1168
os.stat,1162
callable,1159
sys.stdout.flush,1091
StringIO.StringIO,1083
collections.namedtuple,1064
datetime.datetime.utcnow,1059
datetime.datetime.strptime,1053
os.getenv,1052
traceback.format_exc,1050
os.path.normpath,1038
os.walk,1037
socket.socket,1027
time.strftime,1014
math.sqrt,990
math.sin,989
hex,966
dir,962
json.load,956
logging.basicConfig,933
urllib2.urlopen,923
math.cos,909
traceback.print_exc,884
textwrap.dedent,883
random.random,858
functools.wraps,851
subprocess.check_output,850
array.array,810
subprocess.check_call,793
urllib.urlencode,783
os.close,775
collections.OrderedDict,771
logging.warning,768
unittest.skipUnless,765
optparse.make_option,747
shutil.copy,744
hashlib.md5,740
vars,739
base64.b64encode,723
optparse.OptionParser.parse_args,719
complex,719
struct.unpack_from,718
input,717
datetime.date.today,713
codecs.open,710
compile,695
re.escape,661
urlparse.urlparse,660
collections.deque,647
signal.signal,641
inspect.stack,640
math.ceil,639
optparse.OptionGroup.add_option,639
threading.Thread.start,633
itertools.chain,632
math.log,626
subprocess.Popen.communicate,618
os.chmod,606
divmod,599
pickle.dumps,586
tempfile.mkstemp,586
pow,580
argparse.ArgumentParser,578
math.sinh,556
os.rename,556
urllib.quote,547
unittest.skipIf,542
tarfile.open,535
threading.Thread,528
os.access,526
pickle.loads,524
os.getpid,523
math.floor,520
re.split,514
math.cosh,504
random.randrange,499
math.pow,499
time.localtime,499
sys.platform.startswith,492
json.dump,485
math.isnan,484
io.BytesIO,483
platform.system,478
struct.calcsize,476
unittest.mock.patch,470
urlparse.urljoin,461
os.path.relpath,460
urllib2.Request,455
tempfile.NamedTemporaryFile,455
warnings.catch_warnings,453
unittest.TestSuite.addTest,452
math.radians,449
zipfile.ZipFile,448
datetime.datetime.fromtimestamp,446
urllib.quote_plus,445
distutils.core.setup,442
time.gmtime,440
operator.itemgetter,431
time.mktime,414
shutil.copyfile,410
io.open,408
hashlib.sha1,408
logging.warn,406
csv.reader,405
os.path.getsize,403
pprint.pprint,402
unittest.makeSuite,399
threading.Lock,393
warnings.simplefilter,393
itertools.product,391
base64.b64decode,388
classmethod,384
pickle.load,379
subprocess.Popen.wait,376
gc.collect,370
os.popen,367
os.symlink,361
binascii.hexlify,358
string.join,349
os.path.isabs,348
pprint.pformat,346
time.clock,340
random.shuffle,334
unittest.skip,333
distutils.log.warn,332
os.environ.setdefault,332
shutil.move,331
random.uniform,330
urllib.unquote,327
getopt.getopt,327
os.kill,319
operator.attrgetter,318
shutil.copytree,315
os.path.getmtime,312
random.seed,312
math.atan2,310
optparse.OptionParser.error,310
os.rmdir,309
os.path.islink,306
importlib.import_module,298
select.select,297
logging.exception,295
hmac.new,293
weakref.ref,293
hashlib.sha256,290
io.StringIO,286
tempfile.gettempdir,284
uuid.uuid1,283
itertools.izip,276
functools.reduce,276
threading.Thread.join,275
io.StringIO.getvalue,274
string.split,273
datetime.time,272
os.write,272
socket.gethostname,269
os.fdopen,265
zipfile.ZipFile.close,264
pickle.dump,263
inspect.isclass,263
doctest.testmod,260
os.urandom,259
urllib.urlopen,258
fnmatch.fnmatch,256
threading.Event,255
help,253
tempfile.mktemp,249
csv.writer,246
Queue.Queue,245
os.open,240
math.exp,239
warnings.filterwarnings,238
string.replace,236
binascii.unhexlify,232
inspect.getargspec,230
distutils.core.Extension,228
logging.StreamHandler.setFormatter,225
itertools.count,223
string.Template,222
operator.eq,222
delattr,221
unittest.mock.Mock,221
unittest.TextTestRunner,219
sys.getrefcount,215
datetime.datetime.today,215
contextlib.closing,212
atexit.register,210
socket.gethostbyname,208
os.environ.copy,208
unittest.mock.patch.object,207
time.strptime,207
random.sample,206
mailbox.Maildir.add,205
shutil.copy2,204
re.finditer,204
io.BytesIO.write,204
copy,201
xml.etree.ElementTree.fromstring,200
tempfile.NamedTemporaryFile.close,199
sys.getfilesystemencoding,198
os.fork,198
gzip.open,195
os.path.normcase,195
os.getuid,193
collections.Counter,193
imp.find_module,192
unittest.mock.call,190
ConfigParser.ConfigParser,189
logging.Formatter,188
sys.stdin.read,187
os.umask,187
test.support.run_unittest,186
mimetypes.guess_type,184
posixpath.join,184
uuid.UUID,184
subprocess.Popen.write,183
getpass.getpass,182
os.path.expandvars,182
socket.inet_aton,182
io.BytesIO.getvalue,182
builtins.range,180
tempfile.NamedTemporaryFile.write,180
test.test_support.run_unittest,179
zipfile.ZipFile.write,178
time.ctime,177
StringIO.StringIO.getvalue,177
urlparse.parse_qs,176
sys.stderr.flush,175
unicodedata.normalize,175
locale.setlocale,173
inspect.getmembers,172
ast.literal_eval,168
sets.Set,167
math.degrees,166
optparse.OptionParser,165
datetime.datetime.utcfromtimestamp,165
os.dup2,165
argparse.FileType,163
urllib2.build_opener,161
os.utime,161
cgi.escape,160
itertools.groupby,159
logging.StreamHandler.setLevel,159
getpass.getuser,158
unittest.SkipTest,158
socket.setdefaulttimeout,157
memoryview,156
tempfile.TemporaryFile,156
io.BytesIO.seek,155
bin,154
itertools.chain.from_iterable,153
traceback.format_exception,153
threading.RLock,151
io.StringIO.write,151
os.read,150
threading.currentThread,149
os.waitpid,147
math.fabs,147
StringIO.StringIO.write,145
urllib.unquote_plus,145
StringIO.StringIO.seek,144
time.asctime,144
mailbox.Maildir.list_folders,144
base64.encodestring,143
unittest.mock.MagicMock,143
os.uname,143
io.BytesIO.read,143
os.readlink,143
collections.OrderedDict.items,142
socket.getaddrinfo,142
fcntl.fcntl,142
logging.critical,142
threading.Event.wait,140
multiprocessing.cpu_count,140
zipfile.ZipFile.writestr,140
email.message_from_string,140
xml.etree.ElementTree.parse,139
distutils.version.LooseVersion,139
codecs.charmap_decode,138
calendar.timegm,138
optparse.OptionParser.print_help,137
test.support.unlink,137
optparse.OptionParser.add_option_group,137
inspect.currentframe,136
itertools.islice,135
distutils.log.info,135
httplib2.Http,135
os.environ.has_key,135
urlparse.urlsplit,134
threading.Event.set,134
xml.dom.minidom.parseString,134
syslog.syslog,133
inspect.isfunction,132
contextlib.nested,132
unittest.TestLoader,132
math.tan,131
string.lower,130
imp.load_module,129
os.pathsep.join,129
zipfile.ZipFile.namelist,128
math.log10,127
asyncio.get_event_loop,126
subprocess.Popen.poll,126
webbrowser.open,125
mailbox.MHMessage.add_sequence,125
socket.inet_ntoa,125
imp.load_source,124
commands.getstatusoutput,123
urllib.parse.urlparse,123
zlib.decompress,122
lzma.LZMAFile,121
code.Code.Append,121
sys.stdin.readline,121
bisect.bisect_left,120
imp.reload,119
itertools.repeat,119
itertools.combinations,118
math.copysign,115
builtins.str,114
string.strip,114
codecs.getreader,114
socket.getfqdn,113
string.find,113
threading.current_thread,112
zipfile.ZipFile.read,112
mako.template.Template,112
urllib.urlretrieve,111
argparse.ArgumentParser.add_mutually_exclusive_group,111
sys.path.extend,110
pwd.getpwuid,110
configparser.ConfigParser.get,110
os.geteuid,110
pwd.getpwnam,109
urllib.request.urlopen,109
base64.decodestring,108
os.pipe,108
time,107
functools.update_wrapper,107
argparse.ArgumentParser.add_argument_group,107
os.lstat,105
smtplib.SMTP.quit,105
jinja2.Markup,105
fcntl.ioctl,105
json,105
Queue.Queue.put,104
sys.stdout.getvalue,104
commands.getoutput,104
inspect.ismethod,103
xml.etree.ElementTree.tostring,102
os.sep.join,102
pipes.quote,101
datetime.datetime.combine,100
inspect.ismodule,100
weakref.proxy,100
timeit.default_timer,99
socket.create_connection,98
ConfigParser.SafeConfigParser.get,98
argparse.ArgumentTypeError,98
unittest.TestSuite,97
jinja2.Environment,97
optparse.Option,96
struct.Struct,96
traceback.format_exception_only,95
mailbox.Maildir.add_folder,95
os.chown,95
Queue.Queue.empty,95
math.ldexp,94
xml.sax.saxutils.escape,94
sys.stderr.getvalue,93
platform.machine,93
fnmatch.filter,92
binascii.b2a_hex,92
doctest.DocTestFinder,92
math.hypot,91
textwrap.wrap,91
inspect.getfile,91
stat.S_IMODE,91
traceback.format_tb,91
struct.pack_into,91
collections.OrderedDict.update,90
distutils.extension.Extension,90
sys.settrace,90
shutil.copyfileobj,90
ssl.wrap_socket,90
sys.setdefaultencoding,90
os.fstat,90
logging.FileHandler.setFormatter,89
asyncio.sleep,89
zlib.compress,89
argparse.ArgumentParser.add_subparsers,88
sys.modules.get,88
stat.S_ISDIR,88
zipfile.ZipFile.open,88
doctest.DocTestRunner,87
dbus.service.method,87
codecs.getwriter,87
Queue.Queue.get,86
xml.dom.minidom.parse,86
textwrap.fill,84
multiprocessing.Process,84
socket.error,84
os.path.lexists,84
os.path.splitdrive,83
urlparse.urlunparse,83
binascii.a2b_hex,83
ConfigParser.ConfigParser.get,82
curses.color_pair,82
smtplib.SMTP.sendmail,82
fractions.Fraction,82
linecache.getline,81
argparse.ArgumentParser.set_defaults,81
heapq.heappush,80
codecs.lookup,80
urllib.parse.urlencode,80
signal.alarm,79
unittest.TextTestRunner.run,79
hashlib.sha512,79
codecs.charmap_encode,78
itertools.imap,78
os.link,78
argparse.ArgumentParser.print_help,78
itertools.cycle,78
inspect.getmodule,78
socket.inet_pton,78
email.mime.multipart.MIMEMultipart.attach,77
subprocess.CalledProcessError,77
logging.StreamHandler,77
fileinput.input,77
multiprocessing.Process.start,76
collections.Counter.update,76
marshal.dumps,76
httplib.HTTPConnection.request,76
subprocess.Popen.stdout.read,75
threading.local,75
httplib.HTTPConnection.getresponse,75
threading.Thread.setDaemon,74
xml.dom.minidom.Document.createElement,74
datetime.timezone,74
oct,74
textwrap.TextWrapper.fill,74
math.fmod,73
hashlib.new,72
distutils.version.StrictVersion,72
mailbox.MaildirMessage.get_flags,72
mailbox.BabylMessage.add_label,72
distutils.spawn.find_executable,72
locale.getpreferredencoding,72
test.test_support.verify,71
traceback.print_exception,71
collections.OrderedDict.keys,71
xml.etree.ElementTree.ElementTree,71
urllib.parse.urljoin,71
gzip.GzipFile.close,71
math.isinf,70
sys.getdefaultencoding,70
cmath.phase,70
os.linesep.join,69
sys.stdout.fileno,69
xml.sax.saxutils.quoteattr,69
tempfile.NamedTemporaryFile.flush,68
urllib2.HTTPCookieProcessor,68
ast.parse,68
cgi.parse_qs,68
math.acos,68
logging.addLevelName,67
doctest.DocTestSuite,67
argparse.ArgumentParser.error,67
binascii.b2a_base64,67
inspect.signature,67
sysconfig.get_config_var,67
os.path.commonprefix,67
StringIO.StringIO.read,66
string.Template.substitute,66
itertools.ifilter,66
urllib2.install_opener,66
sys.stdin.fileno,66
random.getrandbits,66
mailbox.MaildirMessage.set_flags,66
mailbox.BabylMessage.get_labels,66
ConfigParser.SafeConfigParser,65
stat.S_ISREG,65
md5.new,65
string.maketrans,65
shelve.open,64
csv.DictReader,64
_ctypes.sizeof,64
reportlab.platypus.Paragraph,64
traceback.extract_tb,64
sys.stdout.isatty,64
locale.getdefaultlocale,63
sys.argv.index,63
cryptography.hazmat.primitives.asymmetric.dsa.DSAParameterNumbers,63
glob.iglob,63
datetime.datetime.strftime,62
threading.Timer,62
marshal.loads,62
heapq.heappop,62
